jenis,koridor_no,trayek,jumlah_penumpang,month,month_ts
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),279201,2020-06-01,2020-06-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),119302,2020-06-01,2020-06-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),114754,2020-06-01,2020-06-01T00:00:00
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),236609,2020-06-01,2020-06-01T00:00:00
BRT,1,KORIDOR 1 (BLOK M - KOTA),598912,2020-07-01,2020-07-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),278626,2020-07-01,2020-07-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),384544,2020-07-01,2020-07-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),219071,2020-07-01,2020-07-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),344332,2020-07-01,2020-07-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),278577,2020-07-01,2020-07-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),373454,2020-07-01,2020-07-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),356066,2020-07-01,2020-07-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),558427,2020-07-01,2020-07-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),286734,2020-07-01,2020-07-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),120583,2020-07-01,2020-07-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),117725,2020-07-01,2020-07-01T00:00:00
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),242287,2020-07-01,2020-07-01T00:00:00
BRT,1,KORIDOR 1 (BLOK M - KOTA),929207,2020-08-01,2020-08-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),381268,2020-08-01,2020-08-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),492289,2020-08-01,2020-08-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),274618,2020-08-01,2020-08-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),419826,2020-08-01,2020-08-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),367369,2020-08-01,2020-08-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),443082,2020-08-01,2020-08-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),462227,2020-08-01,2020-08-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),702826,2020-08-01,2020-08-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),347308,2020-08-01,2020-08-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),150552,2020-08-01,2020-08-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),146411,2020-08-01,2020-08-01T00:00:00
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),302248,2020-08-01,2020-08-01T00:00:00
BRT,1,KORIDOR 1 (BLOK M - KOTA),774573,2020-09-01,2020-09-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),331122,2020-09-01,2020-09-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),432894,2020-09-01,2020-09-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),245291,2020-09-01,2020-09-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),379303,2020-09-01,2020-09-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),322019,2020-09-01,2020-09-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),397161,2020-09-01,2020-09-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),407596,2020-09-01,2020-09-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),624240,2020-09-01,2020-09-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),312225,2020-09-01,2020-09-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),129949,2020-09-01,2020-09-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),135196,2020-09-01,2020-09-01T00:00:00
